NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT06901726,"Open, Randomized Crossover Study on PK, PD, Biopotency, and Bioavailability of Insulin Capsules in Healthy Chinese Males",https://clinicaltrials.gov/study/NCT06901726,,NOT_YET_RECRUITING,Pharmacokinetics and pharmacodynamics study of 2 formulations (human insulin enteric coated capsules 32mg vs. human insulin injection 5IU) Relative biopotency and bioavailability of human insulin enteric coated capsules 32mg vs. human insulin injection 5IU,NO,Diabetes Mellitus,DRUG: Human insulin enteric coated capsules in dose 32mg|DRUG: Human Insulin Injection in dose 5IU,"GIRmax, PD endpoint: The maximum glucose infusion rate, 0-11 hours (hyperinsulinemic-euglycemic clamp)|TGIRmax, PD endpoint: The time to maximum observed glucose infusion rate, 0-11 hours (hyperinsulinemic-euglycemic clamp)|AUCGIR 0-11h, PD endpoint: The area under the glucose infusion rate curve from 0 to 11 hours, 0-11 hours (hyperinsulinemic-euglycemic clamp)|AUCGIR0-∞, PD endpoint: The area under the glucose infusion rate curve from 0 to infinity, 0-11 hours (hyperinsulinemic-euglycemic clamp)","Cmax, PK endpoint: The maximum observed insulin concentration, 0-11 hours (hyperinsulinemic-euglycemic clamp)|Tmax, PK endpoint: The time to maximum observed insulin concentration, 0-11 hours (hyperinsulinemic-euglycemic clamp)|AUCIns0-11h, PK endpoint: The area under the insulin concentration curve from 0 to 11 hours

PK endpoint: The area under the insulin concentration curve from 0 to 11 hours

PK endpoint: The area under the insulin concentration curve from 0 to 11 hours, 0-11 hours (hyperinsulinemic-euglycemic clamp)|AUCIns0-∞, PK endpoint: The area under the insulin concentration-time curve from 0 hours to infinity, 0-11 hours (hyperinsulinemic-euglycemic clamp)","Relative biopotency, (AUCGIR of capsule:dosage)/(AUCGIR of injection:dosage), 0-11 hours (hyperinsulinemic-euglycemic clamp)|Relative bioavailability, (AUCins of capsule:dosage)/(AUCins of injection:dosage), 0-11 hours (hyperinsulinemic-euglycemic clamp)|Number of participants with treatment-related adverse events as assessed by CTCAE v5.0, Number of participants experiencing treatment-emergent adverse events, Up to Day 14",Shanghai Jiao Tong University School of Medicine,,MALE,ADULT,PHASE1,10,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: TREATMENT,ORA-H-CN-008,2025-03-31,2025-04-24,2025-06-01,2025-03-30,,2025-03-30,,
NCT06901713,Smoking Cessation Program With CBT and Mindfulness Audio Support: A Randomized Controlled Trial,https://clinicaltrials.gov/study/NCT06901713,,RECRUITING,"This protocol describes a randomized controlled trial evaluating the effectiveness of a smoking cessation program with two intervention methods. One method provides only CBT text messages (Group A), while the other combines CBT text with mindfulness audio (Group B). The study aims to compare the two approaches in reducing smoking frequency, managing cravings, and improving emotional regulation.

This study investigates the effects of two different smoking cessation interventions: (1) CBT text-based program alone (Group A), and (2) CBT text combined with mindfulness audio (Group B). The primary outcomes include reductions in smoking frequency and cravings, as well as improvements in emotional regulation and quality of life.",NO,Smoking Cessation; Tobacco Dependence,OTHER: cognitive behaviour thearpy|OTHER: mindfulness,"Biological Verification of Abstinence, Confirmation of smoking abstinence at the end of the study period using cotinine test strips. This will be the main measure to assess the effectiveness of the smoking cessation interventions., 6 Months","Smoking Frequency, Measured by the number of cigarettes smoked per day at baseline, Baseline, Week 4, Week 8, Week 12, Week 16, Week 20, and Week 26.|Craving Intensity, Assessed using a visual analog scale (VAS), Baseline, Week 4, Week 8, Week 12, Week 16, Week 20, and Week 26.|Emotional Regulation, Evaluated using the Depression, Anxiety, and Stress Scale (DASS-21), Baseline, Week 12, and Week 26",,Sir Run Run Shaw Hospital,,ALL,"ADULT, OLDER_ADULT",NA,2000,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2024-2068-01,2024-10-09,2026-11-01,2026-11-01,2025-03-30,,2025-03-30,"Sir Run Run Shaw Hospital, Hangzhou, China",
NCT06901700,Effects of Home-based Lower Extremity Muscle Power Training on Functional Muscle and Balance Performance in Older Adults,https://clinicaltrials.gov/study/NCT06901700,,NOT_YET_RECRUITING,"Background: Muscle power, defined as the rate at which muscular force is generated to produce movement, declines more rapidly with age than muscle strength. The decline in lower extremity muscle power is associated with reduced functional independence, impaired mobility, and an increased risk of falls among older adults. While power training has been shown to improve muscle power, balance, and functional abilities, the feasibility and effectiveness of home-based interventions have not been thoroughly investigated.

Purpose: The aim of this study is to investigate the effects of home-based lower extremity muscle power training program on functional muscle and balance performance in older adults.

Methods: This is a single-blind, randomized controlled trial. Forty community-dwelling older adults will be recruited and randomly assigned to the experimental group (n=20) and control group (n=20). Participants in the experimental group will complete 24 sessions of home-based lower extremity muscle power training targeting the lower limb muscle groups in 8 weeks. The training intensity will be adjusted every two weeks to gradually increase the challenge of the exercises. Participants in the control group will maintain their daily activities. In addition, both groups will receive health education. Primary outcomes include functional muscle power measured by the Four-Step Stair Climb Power Test, functional muscle strength measured by Five Times Sit-to-Stand Test, and the functional balance performance measured by the Mini-BESTest, and Timed Up and Go Test. The fall confidence, as the secondary outcome, will be measured by Falls Efficacy Scale International.

Statistical analysis: The SPSS® version 29 will be used for statistical analysis. Independent-t-test or chi-square test will be conducted to compare the baseline demographic characteristics between groups. Two-way repeated measure ANOVA will be used to compare the differences between groups and times, post-hoc analyses will be performed using Tukey's test. The significance level is set at 0.05.",NO,Older Adults,OTHER: Experimental Group|OTHER: control group,"Functional muscle performance-muscle power, The Four-Step Stair Climb Power Test is used for measurement, where participants rapidly ascend four steps while the required time is recorded. This test is designed to assess lower limb muscle power., From baseline to the end of treatment at 8 weeks|Functional muscle performance-muscle strength, The 5 Times Sit-to-Stand Test is used for measurement, where participants quickly and continuously perform five sit-to-stand movements while the required time is recorded. This test is designed to assess lower limb muscle strength., From baseline to the end of treatment at 8 weeks|Balance, The Mini-BESTest (Balance Evaluation Systems Test) is used for measurement. This test includes anticipatory control, reactive postural control, sensory orientation, and dynamic gait, allowing for the assessment of balance abilities related to postural control., From baseline to the end of treatment at 8 weeks|Timed Up and Go Test, The Timed Up and Go (TUG) Test is conducted at both a normal and fast pace to assess the balance and mobility of community-dwelling older adults in functional activities., From baseline to the end of treatment at 8 weeks","Fall confidence, The Falls Efficacy Scale International (FES-I) is used for assessment. This scale evaluates the level of confidence in not falling while performing activities of daily living., From baseline to the end of treatment at 8 weeks",,National Yang Ming Chiao Tung University,,ALL,OLDER_ADULT,NA,40,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,NYCU114046AF,2025-05-01,2026-01-31,2026-04-30,2025-03-30,,2025-03-30,"National Yang Ming Chiao Tung University, Taipei, 112, Taiwan",
NCT06901687,Home-Based Transcranial Direct Current Stimulation (tDCS) for Depression in Multiple Sclerosis (MS),https://clinicaltrials.gov/study/NCT06901687,,NOT_YET_RECRUITING,"This project is a double-blind, sham-controlled, parallel-arm, randomized controlled trial. We will recruit n=170 people living with MS, who are experiencing an episode of depression in the context of a major depressive episode (MDE). Using our remotely supervised (RS) tDCS protocol, enrolled participants will complete 30 days of 30-minute tDCS (2.0, DLPFC left anodal) while listening to mindfulness meditation. Over the course of the study, participants will complete assessments of depression and MS symptoms. Participants will be randomized 1:1 active:sham tDCS.",NO,Multiple Sclerosis|Depression,DEVICE: Active tDCS|DEVICE: Sham tDCS,"Change in Hamilton Depression Rating Scale (HDRS-17), HDRS-17 is a 17-item assessement of depression symptoms. Each item is rated on a Likert scale; the total score is the sum of responses and ranges from 0-52, with higher scores indicating greater levels of depression. A score of 0-7 is generally accepted to be within the normal range (or in clinical remission), while a score of 20 or higher indicates at least moderate severity., Baseline, Week 8 (End of Intervention)|Change in Hamilton Depression Rating Scale (HDRS-17), HDRS-17 is a 17-item assessement of depression symptoms. Each item is rated on a Likert scale; the total score is the sum of responses and ranges from 0-52, with higher scores indicating greater levels of depression. A score of 0-7 is generally accepted to be within the normal range (or in clinical remission), while a score of 20 or higher indicates at least moderate severity., Baseline, Month 3","Change in SymptoMScreen Score, 12-item measure of overall MS symptom burden. Each item is rated on a scale from 0 (not affected at all) to 6 (total limitation). The total score is the sum of responses and ranges from 0 to 72; higher scores indicate greater overall MS symptom burden., Baseline, Week 8 (End of Intervention)|Change in SymptoMScreen Score, 12-item measure of overall MS symptom burden. Each item is rated on a scale from 0 (not affected at all) to 6 (total limitation). The total score is the sum of responses and ranges from 0 to 72; higher scores indicate greater overall MS symptom burden., Baseline, Month 3|Change in Cognitive Processing Speed (SDMT), The Symbol Digit Modalities Test (SDMT) scores the total number of correct symbol-digit substitutions within 90 seconds, with a higher score indicating better cognitive processing speed. The maximum possible score is 110, the minimum possible score is 0., Baseline, Week 8 (End of Intervention)|Change in Cognitive Processing Speed (SDMT), The Symbol Digit Modalities Test (SDMT) scores the total number of correct symbol-digit substitutions within 90 seconds, with a higher score indicating better cognitive processing speed. The maximum possible score is 110, the minimum possible score is 0., Baseline, Month 3|Change in Quality of Life in Neurological Disorders (Neuro-QOL) Scale v1.0 - Communication Score, Neuro-QOL Scale - Communication Subscale comprises 5 items assessing respondents' difficulty in performing everyday tasks requiring communication. Each item is rated on a scale from 1 (cannot perform) to 5 (no difficulty). The total score is the sum of responses and ranges from 5-25; higher scores indicate greater communication abilities function., Baseline, Week 8 (End of Intervention)|Change in Quality of Life in Neurological Disorders (Neuro-QOL) Scale v1.0 - Communication Score, Neuro-QOL Scale - Communication Subscale comprises 5 items assessing respondents' difficulty in performing everyday tasks requiring communication. Each item is rated on a scale from 1 (cannot perform) to 5 (no difficulty). The total score is the sum of responses and ranges from 5-25; higher scores indicate greater communication abilities function., Baseline, Month 3|Proportion of Participant who Achieve Clinical Response per HDRS-17 at End of Intervention, Clinical response is defined as a ≥ 50% reduction in HDRS-17 score from baseline to end of intervention., Week 8 (End of Intervention)|Proportion of Participant who Achieve Clinical Response per HDRS-17 at Month 3 Follow-Up, Clinical response is defined as a ≥ 50% reduction in HDRS-17 score from baseline to end of intervention., Month 3|Proportion of Participant who Achieve Remission per HDRS-17 at End of Intervention, Clinical response is defined as a HDRS-17 score ≤ 7 at the end of intervention., Week 8 (End of Intervention)|Proportion of Participant who Achieve Remission per HDRS-17 at Month 3 Follow-Up, Clinical response is defined as a HDRS-17 score ≤ 7 at the end of intervention., Month 3",,NYU Langone Health,National Multiple Sclerosis Society,ALL,"ADULT, OLDER_ADULT",PHASE2,170,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",25-00165,2025-06-01,2028-01-01,2028-06-01,2025-03-30,,2025-03-30,"NYU Langone Health, New York, New York, 10017, United States",
NCT06901674,Stimulating the Cochlear Apex Without Longer Electrodes,https://clinicaltrials.gov/study/NCT06901674,,RECRUITING,"The most common cochlear implant intervention provides an electrode array that stimulates less than half of the length of the cochlea, leaving the regions which represent lower frequencies in the normally functioning ear unstimulated. Providing stimulation over the entire cochlea has the potential to improve speech understanding, sound quality, as well as spectral and temporal representation. Increasing the length of the electrode array to cover a greater portion of the cochlea has many potential issues, including increased damage to the cochlea and probability of incomplete insertions. In this study, a new technique is being investigated that allows stimulation across the entire cochlear extent without increasing the length of the electrode array. The purpose of this study is to evaluate the benefit of the new technique on speech understanding outcomes. Additionally, the study will investigate the new configuration to explore how the auditory system encodes temporal and spectral information.",NO,Deafness With a Cochlear Implant,PROCEDURE: Modified surgical approach|DEVICE: Cochlear Nucleus CI632 cochlear implant,"Upper Limit of Rate Pitch Perception for Cochlear Implant Stimuli, The upper limit of rate pitch perception will be evaluated for Apex-monopolar (MP), 22-Apex, 22-MP, and 11-MP cochlear implant stimuli using a 3-up 1-down 2-interval forced-choice adaptive task. The task measures the highest modulation frequency perceived as a lower pitch compared to a rate 5 semitones higher. A series of 750-ms, 5000-pps pulse trains with 100% amplitude modulation will be presented at a loudness-balanced most-comfortable level. The upper limit will be estimated from the average modulation frequency of the last 6 reversals across 10 trials per stimulation site., Month 12|Mean pitch rank, Pitch-ranking will be done using a 2-interval forced-choice protocol in which the pitch of a newly selected stimulus is ranked relative to the stimulus in the middle of a pitch-rank order list. Depending on the ranked pitch direction, this stimulus is repositioned in the pitch-rank order list and ranked against a neighboring stimulus until the correct position in the list is determined. This process repeated until all stimuli are successfully pitch ranked. A complete set of pitch ranks are measured 10 times allowing for the calculation of a mean rank and 95% confidence interval for the rank of each interval., Month 12|Percentage of Consonant-Nucleus-Consonant (CNC) words correctly repeated, Speech perception will be assessed using CNC word lists, a common method for evaluating monosyllabic word recognition. The CNC Monosyllabic Word Test includes 10 lists of 50 words. The word test score range typically used is between 10% and 60% correct in the ear to be implanted, and equal to or better than that ear in the contralateral ear, but not better than 80% correct., Month 12",,,NYU Langone Health,National Institute on Deafness and Other Communication Disorders (NIDCD),ALL,"ADULT, OLDER_ADULT",NA,40,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,20-01964|5R21DC019743-02,2022-08-01,2026-01-01,2026-01-01,2025-03-30,,2025-03-30,"NYU Langone Health, New York, New York, 10016, United States",
NCT06901661,Telerehabilitation for Hip and Knee Osteoarthritis,https://clinicaltrials.gov/study/NCT06901661,,NOT_YET_RECRUITING,"Digital health utilization in the form of telerehabilitation is a popular technology that is very little researched for musculoskeletal disorders particularly hip and knee osteoarthritis (OA). The progression of OA will lead to total hip or knee replacement surgery. As a consequence, the advancing aging population leads to an increased burden on the healthcare system due to rising osteoarthritis. That's why, we will conduct a randomized controlled trial to explore the effectiveness of telerehabilitation in hip and knee osteoarthritis. This study will recruit OA patients into control and experimental groups. The control group will receive a patient education while the experimental group will undergo remote exercise sessions. Both groups will receive one supervised session a week for 5 weeks. The pre- and post-outcome measures will be recorded for functional status of hip and knee, muscle strength, and range of motions of the lower extremity. This innovative study will evaluate the effectiveness of a telemedicine intervention applied to a clinical population in Taiwan. The use of telerehabilitation interventions aims to reduce treatment and transportation costs, as well as save time for patients with OA. This digital health approach also helps to alleviate the workload of physiotherapists and rehabilitation doctors in clinics. The findings from this study could broaden the scope for using remote digital technology to assist clinical patients in diverse settings, especially those with limited or no hospital access.",NO,"Osteoarthritis, Knee|Osteoarthritis, Hip",BEHAVIORAL: Telerehabilitation|BEHAVIORAL: Standard care,"Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC), A questionnaire, The outcome measures will be recorded before and after finish all 5 week of the intervention","Muscle strength, Static muscle strength of hip and knee flexors and extensors, The outcome measures will be recorded before and after finish all 5 week of the intervention|Range of motion, The Range of motions of hip and knee flexion and extension, The outcome measures will be recorded before and after finish all 5 week of the intervention","Borg rate of perceived exertion (RPE), 6-20 points rating, a score ≤11 will be considered as ""low fatigue"" and \>11 as ""high fatigue, Evaluate every week for 5 weeks during each exercise session of the experimental group|International Physical Activity Questionnaire-Short Form (IPAQ-SF), A questionnaire, The outcome measures will be recorded before and after finish all 5 week of the intervention",Taipei Medical University Shuang Ho Hospital,,ALL,"ADULT, OLDER_ADULT",NA,110,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,TMU-IJRB-N202412017,2025-04,2025-12,2026-12,2025-03-30,,2025-03-30,"Taipei Medical University-Shuang Ho Hospital, Ministry of Health and Welfare, New Taipei City, 235, Taiwan",
NCT06901648,A Study of HS-20094 in Patients With T2DM,https://clinicaltrials.gov/study/NCT06901648,,RECRUITING,"This is a 32-week, phase 2, randomized study, HS-20094 and placebo were double-blind, dulaglutide was open-label. Adults with T2D inadequately controlled with diet and exercise alone or with stable metformin, an HbA1c (glycated hemoglobin) ≥53 to ≤91 mmol/mol (≥7.0 % to≤10.5 %) were randomly assigned to receive 5 mg HS-20094, 10 mg HS-20094, 15 mg HS-20094, placebo, or 1.5 mg dulaglutide subcutaneously for 32 weeks. The primary endpoint was change in HbA1C from baseline to 32 weeks, and secondary endpoints included change in fasting glucose, body weight and several additional measures relevant for cardiovascular risks.",NO,Type 2 Diabetes,DRUG: HS-20094|DRUG: Dulaglutide|DRUG: Palcebo,"The change of HbA1c in the patients, From baseline to week 32","The percentage of patients reaching the HbA1c target of ≤ 6.5%, From baseline to week 32|The percentage of patients reaching the HbA1c target of<7.0%, From baseline to week 32|The change in fasting blood glucose, From baseline to week 32|The change in C peptide, From baseline to week 32|The change of fasting insulin in the patients, From baseline to week 32|The change in body weight, From baseline to week 32|The percentage of patients with 5% or greater body weight loss, From baseline to week 32",,"Jiangsu Hansoh Pharmaceutical Co., Ltd.",,ALL,"ADULT, OLDER_ADULT",PHASE2,270,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",HS-20094-203,2024-02-23,2025-08-14,2025-09-28,2025-03-30,,2025-03-30,"Tianjin Medical University General Hospital (Zhu Xianyi Memorial Hospital), Tianjin, Tianjin, China",
NCT06901635,The EFFECT of DIFFERENT COGNITIVE TASKS on MANUAL DEXTERITY and DUAL TASK PERFORMANCE in GERIATRIC INDIVIDUALS,https://clinicaltrials.gov/study/NCT06901635,,RECRUITING,"Aging is a natural, universal and inevitable process seen in all living things. With aging, structural and functional irreversible degenerative changes occur in molecules, cells, tissues, organs and systems in living organisms(Beğer \& Yavuzer, 2012). These changes, which extend from cells to systems in aging, may cause limitations in the functions necessary for elderly individuals to maintain their daily life activities such as walking, balance, coordination, visual and auditory skills, cognitive skills and dexterity. (Soyuer \& İsmailoğulları, 2009), (Yücel \& Bumin, 2010).WHO defines old age as the period between 65-74 years of age as young old age, 75-84 years of age as middle-aged, and 85 years and older as old age (old age). (Beğer \& Yavuzer, 2012), (Psychogeriatric, 1972) Manual dexterity is the ability to move an object in a desired manner and is necessary to carry out activities of daily living. Decreases in dexterity may occur with aging, which leads to limitation of activities of daily living. (Scherder et al., 2008).Impaired dexterity leads to a progressive deterioration in the performance of activities of daily living that require the use of the hands. Therefore, the ability of older adults to live comfortably and independently is negatively affected. (Vasylenko et al., 2018). Numerous factors such as loss of grip strength, sensory disabilities, decreased vision, neuro-muscular problems and cognitive decline can lead to impaired dexterity in older adults. (Carmeli et al., 2003). It has been shown that there is a further decline in dexterity with increasing age. (Desrosiers et al., 1994) One of the reasons affecting manual dexterity in the elderly is cognitive functions. Cognitive functions are a set of functions that enable the perception and understanding of all kinds of inputs received from the sensory organs. These functions include alertness, attention, memory, executive functions, planning, abstraction, language skills, time-space orientation and arithmetic. As with all physiological structures, cognitive functions are also impaired with aging (Poyraz, 2017), (Öktem, 2016). As age advances, impairments in cognitive functions become more noticeable (Kortebein \& Means, 2012) The term Dual Task (DT) refers to the ability to perform a cognitive and a motor task simultaneously. The addition of a concurrent cognitive task while performing a motor task often leads to impairment in motor task performance, referred to as the dual task effect (DTE) or dual task cost (DTCC). (Beurskens et al., 2016) Motor control and executive function are key elements of IG ability, and both are negatively affected by the aging process. (Beurskens \& Bock, 2013)Many of the activities of daily living of older adults require dual tasks, such as reading while walking or talking while using cutlery.\[ (Falbo et al., 2016)Therefore, the ability to perform IG is essential for older adults to maintain functional independence. (Verghese et al., 2011) In previous studies, it was observed that when a second cognitive task was given while performing a motor task, motor task and cognitive task decreased; however, the effects of different cognitive tasks on manual dexterity motor task and the difference between young elderly (65-74) and middle-aged (75-84) were not examined. The aim of this study is to examine the effects of cognitive tasks that affect different cognitive functions such as attention, memory and executive functions on the dexterous motor task and to evaluate and compare the differences in two different elderly groups (young and middle-aged). Our study is of great importance in terms of evaluating which cognitive functions are affected during a dual task in elderly individuals and how much dexterity is affected by these functions. Since our study is to obtain data from a certain group in a certain period of time, the type of the research was determined as a cross-sectional study. There are dependent and independent variables in the study. The study aims to examine the effect of different cognitive dual tasks added to a motor task requiring manual dexterity on manual dexterity in geriatric individuals in two different age groups. In this context, the independent variables in the study are the type of cognitive task and age. In total, 4 different cognitive tasks were determined. The dependent variable is dexterity performance. The extent to which dexterity will be affected by 4 different cognitive task types and age will be examined.",NO,Dual Task Cost,OTHER: Dual Task,"Box and Block Test, The Box and Block Test is a quick, simple and inexpensive test that can be used in various populations to measure unilateral gross manual dexterity. The box and block test consists of a wooden box divided into two compartments by a board and 150 wooden blocks of 2.5 cm3. In the box block test, the person is asked to move the maximum number of blocks one by one from one compartment of the box to the other compartment of equal size within 60 seconds. A trial period of 15 seconds is allowed before starting the test. When placing the blocks in the other compartment, the participant's fingertips must cross the vertical plane of the compartment. The box block test has high reliability in the elderly population. It also has high reliability among manual dexterity assessors and has good criterion construct validity, 30 second","COGNITIVE TASKS(Executive Functions), Executive Functions (EF)

Participants are asked to name animals or fruits and vegetables within a certain time limit. This task has been shown to trigger activation in the frontal network and temporal lobe. This task targets executive function and semantic memory. Participants need to say words, which requires access to their mental lexicon, and they need to focus on the task, select words that meet certain constraints and avoid repetition, which involves executive control processes. Within 30 seconds, the names of animals or vegetables spoken are recorded, 30 second|COGNITIVE TASK (Working Memory ), The participant is given a number and asked to count backwards from this number.

The counting backward task is thought to engage numerical processing skills and is associated with activation in bilateral prefrontal cortices, left posterior inferior perietal lobule and left supementary motor area. The backward counting task is considered a type of mental monitoring that requires retaining information in working memory and mental processing. The counting backward task has been widely used in the literature as a working memory paradigm. Within 30 seconds, the correct numbers spoken are recorded, 30 second|COGNITIVE TASKS (Attention), A sequence of numbers is read to the participant. The participant is asked to count the number of times the number is said before the test and to say it at the end of the test.

Attention can be defined as the ability to selectively process specific information by focusing cognitive resources and ignoring other inputs from the environment. Depending on its tasks, attention can be defined as selective, divided, sustained and shifting attention. The ability to sustain attention is critical for everyday tasks that affect safety, social communication and mental health. Sustained attention is defined as the ability to maintain consistent task performance. This task is a task used to measure sustained attention., 30 second|COGNITIVE TASKS(Memory), The participant is told certain words and then asked to repeat the words back to us. the correct words spoken by the participant are recorded

This task is used to test short-term memory because the participant is asked to repeat the words immediately after being told them. Episodic memory relies on encoding and retrieval processes and is associated with activation of the bilateral prefrontal cortex. Short-term memory is generally defined as the temporary storage of information. If the information in this structure is encoded or repeated, it is transferred to long-term memory., 30 second",,Marmara University,,ALL,OLDER_ADULT,NA,70,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: OTHER,Marmara-OĞUZ-POLAT001,2024-04-02,2025-04-30,2025-04-30,2025-03-30,,2025-03-30,"Marmara University, İstanbul, 3400, Turkey",
NCT06901622,Camrelizumab and Chemotherapy With or Without Anlotinib as First-line Treatment for Advanced Gallbladder Cancer and Extrahepatic Cholangiocarcinoma,https://clinicaltrials.gov/study/NCT06901622,,ENROLLING_BY_INVITATION,To evaluate the efficacy and safety of camrelizumab and chemotherapy with or without anlotinib as first-line treatment for advanced gallbladder cancer and extrahepatic cholangiocarcinoma,NO,Gallbladder Cancer and Extrahepatic Cholangiocarcinoma,"DRUG: Camrelizumab, anlotinib, nab-paclitaxel, S-1|DRUG: Camrelizumab, nab-paclitaxel, S-1","Objective Response Rate, ORR, The RECIST1.1 standards were used to evaluate the efficacy of drugs., Time Frame: about 2 years","Disease Control Rate, DCR, Time Frame: about 2 years|Progression Free Survival, PFS, Time Frame: about 2 years|Event Free Survival, EFS, Time Frame: about 2 years|2-year Overall Surviva rate, Time Frame: about 2 years|Surgical resection rate, Time Frame: about 2 years|Incidence of Adverse events (AE), Time Frame: about 2 years",,The First Affiliated Hospital of Zhengzhou University,,ALL,"ADULT, OLDER_ADULT",PHASE2,50,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,BTC-02,2024-11-08,2026-03-01,2027-07-01,2025-03-30,,2025-03-30,"The First Affiliated Hospital of Zhengzhou University, Zhengzhou, 450000, China",
NCT06901609,Effect of Genetic Polymorphism on the Clinical Outcome to SGLT2 Inhibitors in Heart Failure Patients,https://clinicaltrials.gov/study/NCT06901609,,ACTIVE_NOT_RECRUITING,"Heart failure with reduced ejection fraction (HFrEF) is a significant cause of morbidity and mortality. Sodium-glucose co-transporter-2 (SGLT2) inhibitors have demonstrated efficacy in improving renal outcomes in patients with HFrEF. Pharmacogenetics, the study of how genetic variations influence drug response, could elucidate inter-individual variability in treatment outcomes. This study aims to assess the impact of specific genetic variants on renal outcomes in HFrEF patients treated with SGLT2 inhibitors.",NO,Heart Failure - NYHA II - IV|Cardiac Fibrosis|Cardiac Remodeling,DRUG: SGLT2 inhibitor (Dapagliflozin 10mg),"Reno-protective effect and gene polymorphism, Association between genetic polymorphism in SLC5A2, UMOD and ACE and Renal response in-terms of change in GFR among patients with heart failure., 6 months","Gene polymorphisms and Renal biomarkers, Association between genetic polymorphism in SLC5A2, UMOD and ACE and Renal biomarkers among patients with heart failure., 6 months",,Ain Shams University,"National Heart Institute in Egypt|Misr International University|Princess Nourah bint Abdulrahman University, Riyadh, Saudi Arabia",ALL,"ADULT, OLDER_ADULT",,200,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,SGLT2 INHIBITORS,2023-11-22,2025-06-01,2025-07-01,2025-03-30,,2025-03-30,"National Heart Institute, Cairo, 11315, Egypt",
NCT06901596,Sugammadex Reduces Antiemetic Effect of Dexamethasone,https://clinicaltrials.gov/study/NCT06901596,,NOT_YET_RECRUITING,"Sugammadex is a medication used for reversal of muscle relaxation during procedures under general anesthesia. It works by encapsulating muscle relaxant molecules with a steroid ring in its structure. On the other hand, postoporative nause and vomiting (PONV) is an adverse outcome during anesthesia. PONV can be prevented with pharmacologic agents such as ondansetron and dexamethasone. Dexamethasone is a steroidal agent that can interact with sugammadex. In theory, this interaction could lead to reduced effectiveness of sugammadex. In fact, several studies have explored this interaction. However, the effect of sugammadex on the antiemetic effect of dexamethasone has not been evaluated. This study intends to evaluate this interaction.",NO,PONV,,"Rate of PONV, Number of events of PONV during 2 hours after admission to PACU, 2 hours after admission to PACU",,,Augusta University,,ALL,"ADULT, OLDER_ADULT",,100,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2204574,2025-04-01,2025-06-30,2025-07-15,2025-03-30,,2025-03-30,,
